Player,Squad,Play,Play,Play,Play,Perf,Perf,Perf,Perf,Perf,W,D,L,Perf,Perf,Perf,Pena,Pena,Pena,Pena
Player,Squad,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Alisson,Liverpool,3,3,270,3,5,1.67,10,6,60,0,2,1,0,0,1,1,0,0,0
Alphonse Areola,West Ham,1,0,62,0.7,2,2.9,1,0,0,0,0,0,0,,1,1,0,0,0
Gavin Bazunu,Southampton,3,3,270,3,7,2.33,13,7,46.2,1,1,1,0,0,0,0,0,0,
Ederson,Manchester City,3,3,270,3,3,1,7,4,57.1,2,1,0,2,66.7,0,0,0,0,
Łukasz Fabiański,West Ham,3,3,208,2.3,3,1.3,7,5,71.4,0,0,3,0,0,1,1,0,0,0
David de Gea,Manchester Utd,3,3,270,3,7,2.33,15,8,53.3,1,0,2,0,0,0,0,0,0,
Vicente Guaita,Crystal Palace,3,3,270,3,4,1.33,11,8,63.6,1,1,1,0,0,0,0,0,0,
Dean Henderson,Nott'ham Forest,3,3,270,3,3,1,20,17,85,1,1,1,1,33.3,1,0,1,0,100
Bernd Leno,Fulham,1,1,90,1,2,2,5,3,60,1,0,0,0,0,0,0,0,0,
Hugo Lloris,Tottenham,3,3,270,3,3,1,8,5,62.5,2,1,0,1,33.3,0,0,0,0,
Emiliano Martínez,Aston Villa,3,3,270,3,6,2,15,10,60,1,0,2,0,0,1,0,1,0,100
Edouard Mendy,Chelsea,3,3,270,3,5,1.67,14,9,64.3,1,1,1,1,33.3,0,0,0,0,
Illan Meslier,Leeds United,3,3,270,3,3,1,13,10,76.9,2,1,0,1,33.3,0,0,0,0,
Jordan Pickford,Everton,3,3,270,3,4,1.33,13,10,76.9,0,1,2,0,0,1,1,0,0,0
Nick Pope,Newcastle Utd,3,3,270,3,3,1,16,12,81.3,1,2,0,2,66.7,0,0,0,0,
Aaron Ramsdale,Arsenal,3,3,270,3,2,0.67,6,5,66.7,3,0,0,2,66.7,0,0,0,0,
David Raya,Brentford,3,3,270,3,5,1.67,18,13,72.2,1,1,1,1,33.3,0,0,0,0,
Marek Rodák,Fulham,2,2,180,2,2,1,4,2,50,0,2,0,1,50,0,0,0,0,
José Sá,Wolves,3,3,270,3,3,1,10,7,70,0,1,2,1,33.3,1,0,1,0,100
Robert Sánchez,Brighton,3,3,270,3,1,0.33,8,8,87.5,2,1,0,2,66.7,0,0,0,0,
Mark Travers,Bournemouth,3,3,270,3,7,2.33,15,9,53.3,1,0,2,1,33.3,0,0,0,0,
Danny Ward,Leicester City,3,3,270,3,8,2.67,13,5,38.5,0,1,2,0,0,0,0,0,0,