,,,,Performance,Performance,Performance,Performance,Performance,Performance,,,,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Player,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov▼,Won,Lost,Won%
Virgil van Dijk,DF,Liverpool,3,0,0,0,4,0,0,0,3,0,0,1,0,66,11,0,100
Rúben Neves,MF,Wolves,3,1,0,0,3,2,0,1,4,6,0,0,0,48,4,0,100
Trent Alexander-Arnold,DF,Liverpool,3,1,0,0,3,0,1,19,3,3,0,0,0,40,2,3,40
Tyler Adams,MF,Leeds United,3,1,0,0,7,4,0,0,4,6,0,0,0,39,1,2,33.3
Nathan Collins,DF,Wolves,3,1,0,0,4,2,0,0,4,1,0,0,0,39,5,3,62.5
Alex Iwobi,MF,Everton,3,1,0,0,3,1,0,3,4,2,0,0,0,38,0,3,0
Harrison Reed,MF,Fulham,3,1,0,0,5,1,0,6,5,2,0,0,0,37,7,7,50
Fabian Schär,DF,Newcastle Utd,3,2,0,0,2,5,0,0,12,1,0,0,0,37,11,4,73.3
João Palhinha,MF,Fulham,3,2,0,0,6,5,0,0,5,9,0,0,0,36,9,5,64.3
Boubacar Kamara,MF,Aston Villa,2.9,0,0,0,9,7,0,0,6,8,0,0,0,36,7,3,70
João Cancelo,DF,Manchester City,3,2,0,0,4,2,0,6,6,5,0,0,0,36,8,7,53.3
Declan Rice,MF,West Ham,3,1,0,0,4,0,0,2,10,5,0,0,0,36,8,1,88.9
Ben Mee,DF,Brentford,2.6,1,0,0,1,2,0,3,5,1,0,0,0,36,13,3,81.3
Mohammed Salisu,DF,Southampton,3,1,0,0,5,2,0,2,8,5,0,0,1,35,4,0,100
James Tarkowski,DF,Everton,3,0,0,0,4,1,0,0,5,7,0,0,0,35,11,4,73.3
Kalidou Koulibaly,DF,Chelsea,2.7,2,1,1,5,2,0,0,3,6,0,0,0,35,8,3,72.7
Thiago Silva,DF,Chelsea,3,0,0,0,1,1,0,0,7,4,0,0,0,35,12,3,80
Daniel Amartey,DF,Leicester City,2.7,0,0,0,0,2,0,0,1,2,0,0,0,35,8,2,80
William Saliba,DF,Arsenal,3,0,0,0,2,1,0,0,10,2,0,0,1,34,4,4,50
Marc Guéhi,DF,Crystal Palace,3,0,0,0,0,1,0,0,4,1,0,0,1,34,8,3,72.7
Thomas Partey,MF,Arsenal,3,0,0,0,7,2,0,1,3,8,0,0,0,34,7,6,53.8
James Ward-Prowse,MF,Southampton,3,0,0,0,3,2,0,2,2,7,0,0,0,34,7,3,70
Adam Webster,DF,Brighton,3,0,0,0,1,2,0,0,6,1,0,0,0,34,9,3,75
Lewis O'Brien,MF,Nott'ham Forest,2.8,1,0,0,3,6,0,2,6,9,0,0,0,33,3,2,60
Moisés Caicedo,MF,Brighton,3,0,0,0,6,2,0,2,3,7,0,0,0,33,5,2,71.4
Lucas Digne,DF,Aston Villa,3,1,0,0,5,3,2,16,3,3,0,1,1,32,10,4,71.4
Neco Williams,DF,Nott'ham Forest,3,2,0,0,5,3,0,9,6,5,0,0,0,32,2,2,50
Rodri,MF,Manchester City,3,0,0,0,2,3,0,1,4,5,0,0,0,32,12,7,63.2
Wilfred Ndidi,MF,Leicester City,3,0,0,0,4,0,0,0,7,4,0,0,0,32,3,4,42.9
Jonny Evans,DF,Leicester City,3,0,0,0,0,1,0,0,3,0,0,0,0,32,9,3,75
Diego Llorente,DF,Leeds United,3,0,0,0,1,1,0,1,7,4,0,0,0,31,12,1,92.3
Roméo Lavia,MF,Southampton,3,1,0,0,1,6,0,0,7,4,0,0,0,31,2,3,40
Bruno Fernandes,MF,Manchester Utd,3,2,0,0,4,7,1,9,5,2,0,0,0,31,2,5,28.6
Tim Ream,DF,Fulham,3,0,0,0,1,1,0,0,17,2,0,0,0,31,4,0,100
Kieran Trippier,DF,Newcastle Utd,3,1,0,0,2,0,0,8,10,1,0,0,0,31,7,8,46.7
Joël Veltman,DF,Brighton,3,0,0,0,3,1,0,2,6,3,0,0,0,30,6,6,50
Oleksandr Zinchenko,DF,Arsenal,2.8,0,0,0,0,1,0,4,8,2,0,0,0,30,3,3,50
Jorginho,MF,Chelsea,2.5,0,0,0,2,9,0,1,4,1,0,0,0,30,1,3,25
Max Kilman,DF,Wolves,3,0,0,0,0,3,0,0,10,0,0,0,0,30,14,7,66.7
Alexis Mac Allister,MF,Brighton,3,1,0,0,5,2,0,1,9,4,0,0,1,29,1,6,14.3
John McGinn,MF,Aston Villa,2.8,1,0,0,6,7,0,6,2,7,0,0,0,29,4,2,66.7
Jeffrey Schlupp,MF,Crystal Palace,2.8,1,0,0,7,4,0,0,3,4,0,0,0,29,4,2,66.7
Joe Worrall,DF,Nott'ham Forest,3,2,0,0,5,1,0,0,1,3,0,0,0,29,5,3,62.5
Jordan Henderson,MF,Liverpool,2,0,0,0,1,1,0,4,2,2,0,0,0,29,2,2,50
Marc Roca,MF,Leeds United,2.4,0,0,0,6,5,0,0,3,4,0,0,0,28,0,1,0
Harry Toffolo,DF,Nott'ham Forest,3,0,0,0,0,2,0,8,6,3,0,0,0,28,7,6,53.8
Diogo Dalot,DF,Manchester Utd,2.9,1,0,0,5,2,0,4,4,3,0,0,0,28,7,4,63.6
Fabinho,MF,Liverpool,2,0,0,0,2,5,0,1,2,3,0,0,0,28,3,1,75
Gabriel Dos Santos,DF,Arsenal,3,0,0,0,1,6,0,0,2,3,0,0,0,28,11,3,78.6
Robin Koch,DF,Leeds United,3,0,0,0,0,1,0,0,3,2,0,0,0,28,5,3,62.5
Dan Burn,DF,Newcastle Utd,3,0,0,0,3,0,2,1,4,3,0,0,0,27,8,8,50
Harry Maguire,DF,Manchester Utd,2,2,0,0,2,1,0,1,3,1,0,0,0,27,7,3,70
Tosin Adarabioyo,DF,Fulham,3,0,0,0,1,1,0,0,6,3,0,0,0,26,11,2,84.6
Lewis Dunk,DF,Brighton,3,0,0,0,1,4,0,0,6,1,0,0,0,26,6,4,60
Joe Gomez,DF,Liverpool,1.3,0,0,0,0,0,0,0,4,1,0,0,0,26,7,2,77.8
Scott McKenna,DF,Nott'ham Forest,3,1,0,0,4,2,0,0,2,0,0,1,0,25,9,5,64.3
Pascal Struijk,DF,Leeds United,3,0,0,0,3,4,0,1,5,9,0,0,0,25,12,7,63.2
Cheick Doucouré,MF,Crystal Palace,2.7,0,0,0,1,3,0,1,9,7,0,0,0,25,0,2,0
Kenny Tete,DF,Fulham,2.8,2,0,0,5,1,0,3,13,6,0,0,0,25,6,6,50
Lisandro Martínez,DF,Manchester Utd,2.5,1,0,0,3,3,0,0,5,6,0,0,0,25,3,1,75
Pierre Højbjerg,MF,Tottenham,3,1,0,0,5,5,0,0,4,5,0,0,0,25,1,2,33.3
Marc Cucurella,DF,Chelsea,2.2,1,0,0,3,2,1,7,7,3,0,0,0,25,0,4,0
Christian Nørgaard,MF,Brentford,2.7,0,0,0,7,2,0,3,10,3,0,0,0,25,4,4,50
Kyle Walker-Peters,DF,Southampton,3,0,0,0,5,5,0,7,6,2,0,0,0,25,6,7,46.2
Christian Eriksen,MFFW,Manchester Utd,2.9,0,0,0,0,1,0,3,2,2,0,0,0,25,5,3,62.5
Joachim Andersen,DF,Crystal Palace,3,1,0,0,3,3,0,1,3,2,0,0,0,25,8,2,80
Aaron Cresswell,DF,West Ham,3,1,0,0,3,0,0,7,4,0,0,0,0,25,4,0,100
Pontus Jansson,DF,Brentford,3,0,0,0,3,0,0,0,3,0,0,0,0,25,6,4,60
Gavin Bazunu,GK,Southampton,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,
Moussa Djenepo,DF,Southampton,2.8,0,0,0,2,7,0,5,10,6,0,0,0,24,2,3,40
Bruno Guimarães,MF,Newcastle Utd,3,1,0,0,2,9,0,1,5,6,0,0,0,24,1,2,33.3
Reece James,DF,Chelsea,3,2,0,0,3,3,2,9,3,5,0,0,0,24,7,2,77.8
Mason Holgate,DF,Everton,2.8,1,0,0,1,4,0,0,3,4,0,0,0,24,6,5,54.5
Martin Ødegaard,MF,Arsenal,2.8,0,0,0,2,0,0,0,2,3,0,0,0,24,5,2,71.4
Rico Henry,DF,Brentford,3,0,0,0,0,4,0,5,6,2,0,0,0,24,5,4,55.6
Ezri Konsa,DF,Aston Villa,2,0,0,0,1,5,0,0,2,2,0,0,0,24,5,6,45.5
Jan Bednarek,DF,Southampton,1.8,0,0,0,0,0,0,0,2,2,0,0,0,24,2,5,28.6
Bukayo Saka,FW,Arsenal,2.9,0,0,0,6,7,2,6,2,5,0,0,0,23,4,4,50
Kyle Walker,DF,Manchester City,2.9,0,0,0,1,3,0,3,2,3,0,0,0,23,4,1,80
Eberechi Eze,MFFW,Crystal Palace,2.8,0,0,0,0,7,1,5,3,2,0,0,0,23,4,7,36.4
Nathan Patterson,DF,Everton,3,0,0,0,2,4,0,4,6,2,0,0,0,23,3,2,60
Wilfried Zaha,FW,Crystal Palace,2.9,1,0,0,3,11,1,5,0,1,0,0,0,23,0,5,0
Vitaliy Mykolenko,DF,Everton,3,1,0,0,4,1,0,3,8,1,0,0,0,23,4,5,44.4
Armel Bella Kotchap,DF,Southampton,2,0,0,0,2,4,0,0,5,1,0,0,0,23,9,3,75
Marcus Tavernier,FWMF,Bournemouth,2.8,0,0,0,3,7,2,2,0,0,0,0,0,23,3,7,30
Emerson,DF,Tottenham,2.9,0,0,0,4,5,0,9,5,5,0,0,0,22,2,3,40
Matty Cash,DF,Aston Villa,3,0,0,0,4,6,0,11,4,4,0,0,0,22,3,3,50
Joelinton,MF,Newcastle Utd,3,2,0,0,8,4,0,4,9,2,0,0,0,22,8,8,50
Rasmus Nissen,DF,Leeds United,3,1,0,0,5,1,0,2,5,2,0,0,0,22,5,4,55.6
Eric Dier,DF,Tottenham,3,0,0,0,1,1,0,0,8,1,0,0,0,22,11,3,78.6
Dean Henderson,GK,Nott'ham Forest,3,1,0,0,0,1,0,0,0,0,0,0,0,22,0,0,
Ben White,DF,Arsenal,2.6,1,0,0,3,5,0,4,10,7,0,0,0,21,7,2,77.8
Scott McTominay,MF,Manchester Utd,2.4,2,0,0,6,3,0,1,2,5,0,0,0,21,7,6,53.8
Andrew Robertson,DF,Liverpool,2.6,0,0,0,1,1,1,8,1,4,0,0,0,21,3,8,27.3
N'Golo Kanté,MF,Chelsea,1.9,0,0,0,0,0,1,2,4,4,0,0,0,21,1,3,25
Miguel Almirón,FW,Newcastle Utd,2.8,0,0,0,3,5,1,6,4,3,0,0,0,21,0,2,0
Ben Pearson,MF,Bournemouth,2.3,1,0,0,6,2,0,0,1,3,0,0,0,21,5,4,55.6
Vladimír Coufal,DF,West Ham,2.8,0,0,0,3,2,0,8,8,2,0,0,0,21,3,3,50
Daniel Podence,MFFW,Wolves,2.6,1,0,0,5,5,0,2,0,2,0,0,0,21,0,2,0
Antonee Robinson,DF,Fulham,3,0,0,0,2,0,1,9,14,1,0,0,0,21,3,0,100
Granit Xhaka,MF,Arsenal,3,1,0,0,1,7,0,1,2,1,0,0,0,21,3,2,60
Allan Saint-Maximin,FW,Newcastle Utd,2.8,1,0,0,2,7,1,11,2,0,0,0,0,21,0,0,
Tyrick Mitchell,DF,Crystal Palace,2.9,0,0,0,2,1,0,5,7,4,0,0,0,20,0,4,0
Brenden Aaronson,FWMF,Leeds United,2.8,1,0,0,3,6,2,1,0,3,0,0,0,20,1,5,16.7
Fred,MF,Manchester Utd,1.3,0,0,0,2,0,0,0,4,3,0,0,0,20,0,0,
Adam Smith,DF,Bournemouth,3,3,0,0,5,1,0,7,5,2,0,0,0,20,2,5,28.6
Nathaniel Clyne,DF,Crystal Palace,2,1,0,0,2,1,0,4,2,1,0,0,0,20,1,5,16.7
Joel Ward,DF,Crystal Palace,2,1,0,0,6,0,0,2,1,1,0,0,0,20,5,2,71.4
Moussa Niakhate,DF,Nott'ham Forest,1.8,0,0,0,3,0,0,0,0,1,0,0,0,20,13,3,81.3
Leandro Trossard,DFFW,Brighton,2.6,1,0,0,5,1,0,8,5,0,0,0,0,20,1,1,50
Luis Díaz,FW,Liverpool,2.9,1,0,0,4,10,0,2,4,6,0,0,0,19,5,11,31.3
Joe Willock,MF,Newcastle Utd,2.5,0,0,0,1,2,0,6,4,5,0,0,0,19,6,5,54.5
Jack Harrison,FW,Leeds United,2.8,2,0,0,3,5,0,10,4,3,0,0,0,19,1,6,14.3
Timothy Castagne,DF,Leicester City,3,0,0,0,0,2,0,7,3,2,0,0,0,19,5,8,38.5
Morgan Gibbs-White,FW,Wolves,2,1,0,0,3,5,0,4,1,1,0,0,0,19,2,7,22.2
Youri Tielemans,MF,Leicester City,2,0,0,0,2,5,0,1,0,1,0,0,0,19,5,4,55.6
Diego Carlos,DF,Aston Villa,2,0,0,0,1,0,0,1,3,1,0,0,0,19,6,4,60
Mohamed Salah,FW,Liverpool,3,0,0,0,1,1,5,10,1,0,0,0,0,19,2,6,25
Dejan Kulusevski,MFFW,Tottenham,2.9,0,0,0,5,3,1,5,1,0,0,0,0,19,1,3,25
Jacob Ramsey,MF,Aston Villa,2.5,1,0,0,6,7,0,2,5,4,0,0,0,18,3,3,50
Vitaly Janelt,MFDF,Brentford,1.7,0,0,0,0,3,0,1,4,4,0,0,0,18,0,4,0
Tomáš Souček,MF,West Ham,3,0,0,0,6,1,0,0,5,4,0,0,0,18,9,6,60
Ruben Loftus-Cheek,DFMF,Chelsea,2.3,0,0,0,2,8,1,4,4,3,0,0,0,18,7,4,63.6
James Justin,DF,Leicester City,3,0,0,0,1,8,2,2,1,2,0,0,0,18,7,9,43.8
Kurt Zouma,DF,West Ham,3,0,0,0,3,2,0,0,4,2,0,0,0,18,8,2,80
Kiernan Dewsbury-Hall,MF,Leicester City,2.8,0,0,0,2,3,0,3,4,1,0,0,0,18,4,4,50
Mohamed Elyounoussi,MFFW,Southampton,1.7,1,0,0,8,2,0,0,0,1,0,0,0,18,3,4,42.9
Cristian Romero,DF,Tottenham,2,0,0,0,1,2,0,0,9,1,0,0,0,18,10,6,62.5
Sven Botman,DF,Newcastle Utd,2,0,0,0,1,0,0,0,0,1,0,0,0,18,6,0,100
Rayan Aït Nouri,DF,Wolves,2.8,1,0,0,6,3,0,4,4,3,0,1,1,17,4,2,66.7
Abdoulaye Doucouré,MF,Everton,1.4,0,0,0,1,1,0,0,0,4,0,1,0,17,2,4,33.3
Leander Dendoncker,MF,Wolves,2.4,0,0,0,0,1,0,1,8,4,0,0,0,17,2,4,33.3
Chris Mepham,DF,Bournemouth,3,1,0,0,4,1,0,0,4,4,0,0,0,17,9,6,60
Orel Mangala,MF,Nott'ham Forest,1.7,0,0,0,2,1,0,0,3,3,0,0,0,17,3,2,60
Bryan Mbeumo,FWDF,Brentford,2.8,0,0,0,1,1,2,5,1,2,0,0,0,17,3,7,30
Nathan Aké,DF,Manchester City,2.2,0,0,0,0,0,0,1,2,2,0,0,0,17,3,1,75
Pablo Fornals,MFFW,West Ham,2.4,0,0,0,1,1,0,3,6,1,0,0,0,17,3,6,33.3
Ederson,GK,Manchester City,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
Illan Meslier,GK,Leeds United,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
Jordan Pickford,GK,Everton,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
Nick Pope,GK,Newcastle Utd,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,
Thilo Kehrer,DF,West Ham,1,1,0,0,1,1,0,0,0,0,0,1,0,16,1,1,50
Bobby Reid,FW,Fulham,3,1,0,0,6,2,0,6,2,4,1,0,0,16,3,6,33.3
Rodrigo Bentancur,MF,Tottenham,2.8,1,0,0,7,2,0,1,7,6,0,0,0,16,2,1,66.7
Solly March,DFMF,Brighton,2.7,1,0,0,2,4,1,7,5,4,0,0,0,16,4,8,33.3
Harvey Elliott,MF,Liverpool,2.3,0,0,0,3,2,1,1,2,4,0,0,0,16,1,3,25
Jarrod Bowen,FWMF,West Ham,2.9,0,0,0,1,7,3,3,3,3,0,0,0,16,4,7,36.4
Gabriel Jesus,FW,Arsenal,2.8,1,0,0,7,3,4,2,3,3,0,0,0,16,5,14,26.3
James Milner,MF,Liverpool,1.8,0,0,0,1,2,0,7,3,2,0,0,0,16,5,6,45.5
Ben Johnson,DF,West Ham,2.2,0,0,0,0,0,0,1,2,1,0,0,0,16,2,0,100
Tyrone Mings,DF,Aston Villa,2,0,0,0,0,2,0,0,3,1,0,0,0,16,7,2,77.8
Alisson,GK,Liverpool,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,
Jefferson Lerma,DFMF,Bournemouth,3,0,0,0,3,3,1,0,1,2,0,0,1,15,3,2,60
Dwight McNeil,FW,Everton,1.7,0,0,0,0,3,1,3,1,4,0,0,0,15,0,3,0
Anthony Gordon,FW,Everton,3,1,0,0,7,6,2,2,2,4,0,0,0,15,1,14,6.7
Ben Davies,DF,Tottenham,2.9,0,0,0,2,0,0,2,4,3,0,0,0,15,10,5,66.7
Brennan Johnson,FW,Nott'ham Forest,3,1,0,0,3,0,2,4,1,1,0,0,0,15,2,8,20
Philippe Coutinho,MFFW,Aston Villa,1.7,1,0,0,4,1,1,2,1,1,0,0,0,15,4,2,66.7
Rúben Dias,DF,Manchester City,2.5,0,0,0,4,2,0,0,2,1,0,0,0,15,7,6,53.8
Vicente Guaita,GK,Crystal Palace,3,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
José Sá,GK,Wolves,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,
Mason Mount,MFFW,Chelsea,2.6,0,0,0,3,4,0,5,0,7,0,0,0,14,0,0,
Wesley Fofana,DF,Leicester City,2,1,0,0,2,3,1,0,6,5,0,0,0,14,6,5,54.5
Mathias Jensen,MF,Brentford,2.1,0,0,0,1,1,0,4,1,4,0,0,0,14,2,2,50
Tom Davies,MF,Everton,1.2,1,0,0,1,2,0,0,5,3,0,0,0,14,1,1,50
Lewis Cook,MF,Bournemouth,1.4,0,0,0,0,2,0,0,4,3,0,0,0,14,1,1,50
Neeskens Kebano,FW,Fulham,1.6,0,0,0,3,3,2,6,1,2,0,0,0,14,1,3,25
Kevin De Bruyne,MF,Manchester City,3,0,0,0,1,4,0,13,0,1,0,0,0,14,0,4,0
Pascal Groß,MFDF,Brighton,3,0,0,0,1,4,0,9,2,1,0,0,0,14,1,7,12.5
Phil Foden,FW,Manchester City,2.5,0,0,0,0,5,0,7,3,1,0,0,0,14,2,3,40
Luke Shaw,DF,Manchester Utd,1.5,1,0,0,3,1,0,3,2,1,0,0,0,14,3,2,60
Pedro Neto,FWDF,Wolves,2.6,0,0,0,3,5,2,9,5,0,0,0,0,14,0,3,0
Jesse Lingard,MF,Nott'ham Forest,2.9,0,0,0,4,1,0,2,3,0,0,0,0,14,0,2,0
Danny Ward,GK,Leicester City,3,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,
Marek Rodák,GK,Fulham,2,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,
Demarai Gray,FW,Everton,2.9,0,0,0,1,4,2,9,0,3,0,0,0,13,3,6,33.3
