Player,Pos,Squad,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Saman Ghoddos,FW,Brentford,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan Gibbs-White,FW,Wolves,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.7,0.32,0.03,0.35,0.32,0.35
Morgan Gibbs-White,MF,Nott'ham Forest,1,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Godfrey,DF,Everton,1,1,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,DF,Liverpool,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Gordon,FW,Everton,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.2,1.2,0.33,0.06,0.39,0.33,0.39
Demarai Gray,FW,Everton,3,3,260,2.9,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,1,1,0.1,1,0.33,0.03,0.36,0.33,0.36
Jack Grealish,FW,Manchester City,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.5,0.04,0.32,0.36,0.04,0.36
Sam Greenwood,MFFW,Leeds United,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.31,0,0.31,0.31,0.31
Pascal Groß,MFDF,Brighton,3,3,270,3,2,1,2,0,0,0,0,0.67,0.33,1,0.67,1,1.2,1.2,0.5,1.7,0.41,0.16,0.57,0.41,0.57
Vicente Guaita,GK,Crystal Palace,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gonçalo Guedes,FW,Wolves,2,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.14,0.07,0.21,0.14,0.21
Marc Guéhi,DF,Crystal Palace,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.4,0.02,0.12,0.15,0.02,0.15
Bruno Guimarães,MF,Newcastle Utd,3,3,269,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.4,0.01,0.13,0.14,0.01,0.14
İlkay Gündoğan,MF,Manchester City,3,3,231,2.6,2,0,2,0,0,0,0,0.78,0,0.78,0.78,0.78,1,1,0.5,1.5,0.37,0.2,0.57,0.37,0.57
Erling Haaland,FW,Manchester City,3,3,240,2.7,3,1,2,1,1,0,0,1.13,0.37,1.5,0.75,1.13,3,2.2,0.4,2.5,1.11,0.13,1.25,0.82,0.95
Jack Harrison,FW,Leeds United,3,3,255,2.8,1,3,1,0,0,2,0,0.35,1.06,1.41,0.35,1.41,0.5,0.5,0.7,1.3,0.19,0.26,0.45,0.19,0.45
Kai Havertz,FWMF,Chelsea,3,3,253,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.6,0.16,0.04,0.2,0.16,0.2
Hwang Hee-chan,FW,Wolves,3,2,151,1.7,0,1,0,0,0,0,0,0,0.6,0.6,0,0.6,0.4,0.4,0.5,0.9,0.25,0.29,0.53,0.25,0.53
Dean Henderson,GK,Nott'ham Forest,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,MF,Liverpool,3,2,176,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.08,0.12,0.2,0.08,0.2
Rico Henry,DF,Brentford,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.2,0.2,0.1,0.3,0.06,0.04,0.1,0.06,0.1
Son Heung-min,MFFW,Tottenham,3,3,243,2.7,0,1,0,0,0,0,0,0,0.37,0.37,0,0.37,1,1,0.4,1.3,0.36,0.14,0.5,0.36,0.5
Aaron Hickey,DF,Brentford,3,3,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Højbjerg,MF,Tottenham,3,3,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0.6,0.7,0.03,0.21,0.23,0.03,0.23
Mason Holgate,DF,Everton,3,2,253,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.11,0.05,0.15,0.11,0.15
Will Hughes,MF,Crystal Palace,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1.1,0,1.1,1.1,1.1
Kelechi Iheanacho,FW,Leicester City,2,0,36,0.4,0,1,0,0,0,0,0,0,2.5,2.5,0,2.5,0.1,0.1,0.1,0.2,0.22,0.26,0.48,0.22,0.48
Danny Ings,FW,Aston Villa,3,2,167,1.9,1,0,1,0,0,2,0,0.54,0,0.54,0.54,0.54,0.4,0.4,0,0.5,0.23,0.02,0.24,0.23,0.24
Alex Iwobi,MF,Everton,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.6,0.01,0.18,0.19,0.01,0.19
Daniel James,FW,Leeds United,2,1,125,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.07,0.2,0.28,0.07,0.28
Reece James,DF,Chelsea,3,3,270,3,1,0,1,0,0,2,0,0.33,0,0.33,0.33,0.33,0.5,0.5,0.4,0.9,0.16,0.12,0.29,0.16,0.29
Vitaly Janelt,MFDF,Brentford,3,1,150,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.07,0.11,0.04,0.11
Pontus Jansson,DF,Brentford,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mathias Jensen,MF,Brentford,3,3,190,2.1,1,2,1,0,0,0,0,0.47,0.95,1.42,0.47,1.42,0.3,0.3,0.2,0.5,0.12,0.1,0.22,0.12,0.22
Gabriel Jesus,FW,Arsenal,3,3,255,2.8,2,3,2,0,0,1,0,0.71,1.06,1.76,0.71,1.76,1.7,1.7,0.9,2.6,0.58,0.32,0.91,0.58,0.91
Raúl Jiménez,FW,Wolves,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joelinton,MF,Newcastle Utd,3,3,270,3,0,1,0,0,0,2,0,0,0.33,0.33,0,0.33,0.3,0.3,0.3,0.6,0.12,0.1,0.21,0.12,0.21
Ben Johnson,DF,West Ham,3,2,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03
Brennan Johnson,FW,Nott'ham Forest,3,3,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.4,0.4,0,0.4,0.13,0,0.13,0.13,0.13
Jorginho,MF,Chelsea,3,3,224,2.5,1,0,0,1,1,0,0,0.4,0,0.4,0,0,0.8,0,0.1,0.2,0.33,0.06,0.39,0.02,0.08
James Justin,DF,Leicester City,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Boubacar Kamara,MF,Aston Villa,3,3,261,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01
Harry Kane,FW,Tottenham,3,3,270,3,2,0,2,0,0,1,0,0.67,0,0.67,0.67,0.67,1.7,1.7,0.5,2.2,0.55,0.17,0.72,0.55,0.72
N'Golo Kanté,MF,Chelsea,2,2,174,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.1,0.16,0.05,0.16
Neeskens Kebano,FW,Fulham,2,2,147,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.05,0.09,0.04,0.09
Thilo Kehrer,DF,West Ham,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lloyd Kelly,DF,Bournemouth,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0,0,0,0.01,0.01,0,0.01
Max Kilman,DF,Wolves,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Mateusz Klich,MF,Leeds United,3,0,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.25,0.25,0,0.25
Robin Koch,DF,Leeds United,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Ezri Konsa,DF,Aston Villa,3,2,181,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.07,0,0.07,0.07,0.07
Kalidou Koulibaly,DF,Chelsea,3,3,247,2.7,1,0,1,0,0,2,1,0.36,0,0.36,0.36,0.36,0.2,0.2,0,0.2,0.09,0,0.09,0.09,0.09
Cheikhou Kouyaté,MF,Nott'ham Forest,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emil Krafth,DF,Newcastle Utd,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dejan Kulusevski,MFFW,Tottenham,3,3,260,2.9,1,1,1,0,0,0,0,0.35,0.35,0.69,0.35,0.69,0.2,0.2,0.7,0.8,0.06,0.23,0.29,0.06,0.29
Adam Lallana,MF,Brighton,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.14,0.08,0.22,0.14,0.22
Tariq Lamptey,DF,Brighton,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel Lanzini,MFFW,West Ham,3,1,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06
Roméo Lavia,MF,Southampton,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.02,0.01,0.03,0.02,0.03
Clément Lenglet,DF,Tottenham,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bernd Leno,GK,Fulham,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Lerma,DFMF,Bournemouth,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.2,0.2,0,0.2,0.08,0,0.08,0.08,0.08
Rico Lewis,DF,Manchester City,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keane Lewis-Potter,FWMF,Brentford,2,0,63,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0.12,1,1.12,0.12,1.12
Jesse Lingard,MF,Nott'ham Forest,3,3,263,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,0.08,0.07,0.14,0.08,0.14
Diego Llorente,DF,Leeds United,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Hugo Lloris,GK,Tottenham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Loftus-Cheek,DFMF,Chelsea,3,2,206,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,0.07,0.11,0.18,0.07,0.18
Sean Longstaff,MF,Newcastle Utd,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.3,0.3,0,0.3
Jamal Lowe,FW,Bournemouth,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas Luiz,MF,Aston Villa,2,0,27,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.3,0.13,0.81,0.94,0.13,0.94
Lyanco,MF,Southampton,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,MF,Brighton,3,3,270,3,1,0,0,1,1,1,0,0.33,0,0.33,0,0,0.9,0.1,0,0.1,0.3,0,0.3,0.04,0.04
James Maddison,MF,Leicester City,3,3,270,3,2,1,2,0,0,1,0,0.67,0.33,1,0.67,1,0.5,0.5,0.3,0.8,0.17,0.09,0.26,0.17,0.26
Harry Maguire,DF,Manchester Utd,2,2,180,2,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.09,0.01,0.1,0.09,0.1
Riyad Mahrez,FW,Manchester City,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.09,0.19,0.28,0.09,0.28
Tyrell Malacia,DF,Manchester Utd,3,1,136,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Orel Mangala,MF,Nott'ham Forest,3,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0.02,0.06,0.05,0.06
Sekou Mara,FWMF,Southampton,2,1,79,0.9,0,1,0,0,0,0,0,0,1.14,1.14,0,1.14,0.1,0.1,0.2,0.3,0.1,0.19,0.29,0.1,0.29
Solly March,DFMF,Brighton,3,3,247,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.18,0.07,0.25,0.18,0.25
Anthony Martial,FW,Manchester Utd,1,0,45,0.5,0,1,0,0,0,0,0,0,2,2,0,2,0,0,0.4,0.4,0,0.88,0.88,0,0.88
Martinelli,FW,Arsenal,3,3,253,2.8,2,0,2,0,0,0,0,0.71,0,0.71,0.71,0.71,1.1,1.1,0.6,1.7,0.41,0.21,0.62,0.41,0.62
Emiliano Martínez,GK,Aston Villa,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lisandro Martínez,DF,Manchester Utd,3,3,225,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.08,0,0.08,0.08,0.08
Jean-Philippe Mateta,FW,Crystal Palace,2,0,54,0.6,1,0,1,0,0,0,0,1.67,0,1.67,1.67,1.67,0.6,0.6,0,0.6,0.96,0,0.96,0.96,0.96
Joël Matip,DF,Liverpool,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Mbabu,DF,Fulham,2,0,15,0.2,0,1,0,0,0,1,0,0,6,6,0,6,0,0,0.3,0.3,0,1.65,1.65,0,1.65
Bryan Mbeumo,FWDF,Brentford,3,3,252,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.8,0.8,0.3,1.1,0.29,0.12,0.41,0.29,0.41
John McGinn,MF,Aston Villa,3,3,252,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11
Scott McKenna,DF,Nott'ham Forest,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dwight McNeil,FW,Everton,3,2,157,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.09,0.07,0.16,0.09,0.16
Scott McTominay,MF,Manchester Utd,3,2,212,2.4,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Ben Mee,DF,Brentford,3,3,238,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.9,0.9,0,0.9,0.33,0,0.33,0.33,0.33
Edouard Mendy,GK,Chelsea,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Mepham,DF,Bournemouth,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01
Illan Meslier,GK,Leeds United,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Mighten,FW,Nott'ham Forest,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojević,MF,Crystal Palace,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Milner,MF,Liverpool,3,2,166,1.8,0,1,0,0,0,0,0,0,0.54,0.54,0,0.54,0.3,0.3,0.7,1,0.16,0.36,0.52,0.16,0.52
Yerry Mina,DF,Everton,1,1,69,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrone Mings,DF,Aston Villa,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,DF,Crystal Palace,3,3,258,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,0,0,0.3,0.3,0,0.12,0.12,0,0.12
Kaoru Mitoma,DF,Brighton,2,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1.02,1.02,0,1.02
Aleksandar Mitrović,FW,Fulham,3,3,269,3,3,0,2,1,2,1,0,1,0,1,0.67,0.67,3,1.5,0,1.5,1.01,0.01,1.02,0.49,0.5
Kieffer Moore,FW,Bournemouth,3,3,269,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Mason Mount,MFFW,Chelsea,3,3,230,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.7,0.17,0.09,0.27,0.17,0.27
Lucas Moura,DFFW,Tottenham,2,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Moutinho,MF,Wolves,1,1,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.13,0.13,0,0.13
Jacob Murphy,FW,Newcastle Utd,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enock Mwepu,MFFW,Brighton,3,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.32,0.32,0,0.32
Vitaliy Mykolenko,DF,Everton,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3,0.3,0.01,0.1,0.11,0.01,0.11
Wilfred Ndidi,MF,Leicester City,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedro Neto,FWDF,Wolves,3,3,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.05,0.06,0.11,0.05,0.11
Rúben Neves,MF,Wolves,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.4,0.6,0.06,0.13,0.19,0.06,0.19
Moussa Niakhate,DF,Nott'ham Forest,2,2,160,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.26,0,0.26,0.26,0.26
Rasmus Nissen,DF,Leeds United,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.13,0.02,0.15,0.13,0.15
Eddie Nketiah,FW,Arsenal,3,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.97,0.48,1.45,0.97,1.45
Christian Nørgaard,MF,Brentford,3,3,241,2.7,1,0,1,0,0,0,0,0.37,0,0.37,0.37,0.37,0.1,0.1,0,0.2,0.04,0.02,0.06,0.04,0.06
Matheus Nunes,MF,Wolves,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.14,0.03,0.17,0.14,0.17
