Player,Pos,Squad,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Darwin Núñez,FW,Liverpool,2,1,96,1.1,1,1,1,0,0,0,1,0.94,0.94,1.87,0.94,1.87,1.6,1.6,0.7,2.3,1.47,0.65,2.12,1.47,2.12
Lewis O'Brien,MF,Nott'ham Forest,3,3,254,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.04,0.06,0.03,0.06
Martin Ødegaard,MF,Arsenal,3,3,252,2.8,2,0,2,0,0,0,0,0.71,0,0.71,0.71,0.71,1,1,0.1,1,0.35,0.02,0.37,0.35,0.37
Michael Olise,FW,Crystal Palace,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,0,0.18
Amadou Onana,MF,Everton,2,0,44,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.25,0,0.25,0.25,0.25
Frank Onyeka,MF,Brentford,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
João Palhinha,MF,Fulham,3,3,270,3,1,0,1,0,0,2,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05
Cole Palmer,MF,Manchester City,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas Partey,MF,Arsenal,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.11,0,0.11,0.11,0.11
Nathan Patterson,DF,Everton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06
Ben Pearson,MF,Bournemouth,3,3,206,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02
Andreas Pereira,MF,Fulham,3,3,263,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.2,0.2,0.5,0.7,0.05,0.17,0.23,0.05,0.23
Ayoze Pérez,MF,Leicester City,1,1,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.07,0.09,0.16,0.07,0.16
Ivan Perišić,DF,Tottenham,3,1,112,1.2,0,2,0,0,0,0,0,0,1.61,1.61,0,1.61,0,0,1.3,1.3,0,1.01,1.01,0,1.01
Romain Perraud,DF,Southampton,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.42,0,0.42,0.42,0.42
Kalvin Phillips,MF,Manchester City,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Phillips,DF,Liverpool,1,1,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.08,0,0.08,0.08,0.08
Jordan Pickford,GK,Everton,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0,0,0.6,0.6,0,0.19,0.19,0,0.19
Daniel Podence,MFFW,Wolves,3,3,238,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.5,0.5,0.3,0.8,0.18,0.13,0.31,0.18,0.31
Nick Pope,GK,Newcastle Utd,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dennis Praet,MF,Leicester City,1,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Pulisic,MFFW,Chelsea,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.13,0,0.13,0.13,0.13
Aaron Ramsdale,GK,Arsenal,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Ramsey,MF,Aston Villa,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.2,0.3,0.03,0.08,0.1,0.03,0.1
Marcus Rashford,FW,Manchester Utd,3,3,265,2.9,1,0,1,0,0,1,0,0.34,0,0.34,0.34,0.34,1,1,0.1,1.1,0.34,0.05,0.38,0.34,0.38
David Raya,GK,Brentford,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Ream,DF,Fulham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Nathan Redmond,DF,Southampton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Reed,MF,Fulham,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.08,0.03,0.11,0.08,0.11
Bobby Reid,FW,Fulham,3,3,268,3,1,0,1,0,0,1,0,0.34,0,0.34,0.34,0.34,0.5,0.5,0.1,0.6,0.17,0.03,0.2,0.17,0.2
Declan Rice,MF,West Ham,3,3,270,3,0,0,0,0,1,1,0,0,0,0,0,0,0.9,0.1,0.1,0.2,0.3,0.02,0.32,0.04,0.06
Chris Richards,DF,Crystal Palace,2,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0.33,0.33,0.33
Richarlison,MFFW,Tottenham,2,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.21,0,0.21,0.21,0.21
Andrew Robertson,DF,Liverpool,3,3,236,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.02,0.07,0.09,0.02,0.09
Antonee Robinson,DF,Fulham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.01,0.06,0.07,0.01,0.07
Marc Roca,MF,Leeds United,3,3,219,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.02,0.02,0,0.02
Marek Rodák,GK,Fulham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rodri,MF,Manchester City,3,3,268,3,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.3,0.3,0.2,0.5,0.1,0.07,0.17,0.1,0.17
Rodrigo,FWMF,Leeds United,3,3,236,2.6,4,1,4,0,0,0,0,1.53,0.38,1.91,1.53,1.91,1.8,1.8,0.7,2.4,0.67,0.25,0.92,0.67,0.92
Mads Roerslev,DF,Brentford,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristian Romero,DF,Tottenham,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.08,0,0.08,0.08,0.08
Oriol Romeu,MF,Southampton,1,1,74,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristiano Ronaldo,FW,Manchester Utd,3,1,133,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,0.26,0.1,0.36,0.26,0.36
Salomón Rondón,FW,Everton,2,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.76,0.03,0.79,0.76,0.79
José Sá,GK,Wolves,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan Saint-Maximin,FW,Newcastle Utd,3,3,253,2.8,0,2,0,0,0,1,0,0,0.71,0.71,0,0.71,0.7,0.7,0.9,1.7,0.26,0.33,0.59,0.26,0.59
Bukayo Saka,FW,Arsenal,3,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.6,0.09,0.13,0.22,0.09,0.22
Mohamed Salah,FW,Liverpool,3,3,270,3,2,0,2,0,0,0,0,0.67,0,0.67,0.67,0.67,0.9,0.9,1.1,2,0.31,0.36,0.68,0.31,0.68
William Saliba,DF,Arsenal,3,3,270,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Mohammed Salisu,DF,Southampton,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.04,0.02,0.06,0.04,0.06
Albert Sambi Lokonga,MF,Arsenal,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davinson Sánchez,DF,Tottenham,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.14,0,0.14,0.14,0.14
Robert Sánchez,GK,Brighton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jadon Sancho,FW,Manchester Utd,3,3,218,2.4,1,0,1,0,0,0,0,0.41,0,0.41,0.41,0.41,0.3,0.3,0.4,0.7,0.14,0.16,0.29,0.14,0.29
Gianluca Scamacca,FW,West Ham,3,0,85,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.03,0.1,0.13,0.03,0.13
Fabian Schär,DF,Newcastle Utd,3,3,270,3,1,0,1,0,0,2,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03
Jeffrey Schlupp,MF,Crystal Palace,3,3,253,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.13,0,0.13,0.13,0.13
Nélson Semedo,DF,Wolves,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08
Marcos Senesi,DF,Bournemouth,2,1,56,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Sessegnon,DF,Tottenham,3,2,136,1.5,1,0,1,0,0,1,0,0.66,0,0.66,0.66,0.66,0.3,0.3,0,0.3,0.22,0,0.22,0.22,0.22
Luke Shaw,DF,Manchester Utd,2,2,134,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.3,0.4,0.07,0.17,0.24,0.07,0.24
Bernardo Silva,FWMF,Manchester City,3,1,129,1.4,1,1,1,0,0,0,0,0.7,0.7,1.4,0.7,1.4,0.6,0.6,0.3,0.9,0.43,0.22,0.65,0.43,0.65
Thiago Silva,DF,Chelsea,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.02,0.02,0.02
Luis Sinisterra,FW,Leeds United,2,0,28,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Smith,DF,Bournemouth,3,3,270,3,0,0,0,0,0,3,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.03,0.03,0.06,0.03,0.06
Emile Smith Rowe,MFFW,Arsenal,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.29,1.53,1.82,0.29,1.82
Dominic Solanke,FW,Bournemouth,1,1,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.19,0,0.19,0.19,0.19
Manor Solomon,FW,Fulham,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomáš Souček,MF,West Ham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0.33,0,0.33,0.33,0.33
Jack Stacey,DF,Bournemouth,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Junior Stanislas,MF,Bournemouth,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.15,0.15,0.15
Jay Stansfield,FW,Fulham,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.3,0.28,0.08,0.36,0.28,0.36
Jack Stephens,DF,Southampton,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.15,0.15,0,0.15
Raheem Sterling,FWMF,Chelsea,3,3,259,2.9,0,1,0,0,0,1,0,0,0.35,0.35,0,0.35,0.7,0.7,0.6,1.2,0.23,0.19,0.42,0.23,0.42
John Stones,DF,Manchester City,2,1,117,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Struijk,DF,Leeds United,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.1,0.1,0,0.2,0.05,0.01,0.05,0.05,0.05
Crysencio Summerville,FW,Leeds United,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Surridge,FW,Nott'ham Forest,2,1,81,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0,0.3,0.29,0,0.29,0.29,0.29
Matt Targett,DF,Newcastle Utd,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.11,0.11,0,0.11
James Tarkowski,DF,Everton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.06,0.04,0.1,0.06,0.1
Marcus Tavernier,FWMF,Bournemouth,3,3,254,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.05,0.05,0.09,0.05,0.09
Kenny Tete,DF,Fulham,3,3,255,2.8,0,1,0,0,0,2,0,0,0.35,0.35,0,0.35,0,0,0.1,0.1,0,0.05,0.05,0,0.05
Youri Tielemans,MF,Leicester City,3,2,178,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.06,0.03,0.09,0.06,0.09
Kieran Tierney,DFFW,Arsenal,3,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Toffolo,DF,Nott'ham Forest,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.04,0.12,0.16,0.04,0.16
Takehiro Tomiyasu,DF,Arsenal,2,0,32,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ivan Toney,FW,Brentford,3,3,270,3,2,2,2,0,0,0,0,0.67,0.67,1.33,0.67,1.33,0.9,0.9,1.4,2.3,0.3,0.47,0.77,0.3,0.77
Adama Traoré,DFFW,Wolves,2,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Travers,GK,Bournemouth,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,DF,Newcastle Utd,3,3,270,3,1,0,1,0,0,1,0,0.33,0,0.33,0.33,0.33,0.1,0.1,0.4,0.4,0.03,0.12,0.14,0.03,0.14
Leandro Trossard,DFFW,Brighton,3,3,237,2.6,1,0,1,0,0,1,0,0.38,0,0.38,0.38,0.38,0.6,0.6,0.2,0.8,0.25,0.07,0.31,0.25,0.31
Kostas Tsimikas,DF,Liverpool,2,0,34,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
Deniz Undav,FW,Brighton,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yan Valery,DF,Southampton,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Virgil van Dijk,DF,Liverpool,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Raphaël Varane,DF,Manchester Utd,2,1,135,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03
Jamie Vardy,FW,Leicester City,3,3,223,2.5,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0,0,0.4,0.4,0.02,0.14,0.16,0.02,0.16
Joël Veltman,DF,Brighton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0,0.03,0.02,0.03
Rúben Vinagre,DF,Everton,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Walker,DF,Manchester City,3,3,261,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01
Kyle Walker-Peters,DF,Southampton,3,3,269,3,1,0,1,0,0,0,0,0.33,0,0.33,0.33,0.33,0.2,0.2,0.1,0.4,0.08,0.04,0.12,0.08,0.12
Aaron Wan-Bissaka,DF,Manchester Utd,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Ward,GK,Leicester City,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joel Ward,DF,Crystal Palace,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
James Ward-Prowse,MF,Southampton,3,3,270,3,1,1,1,0,0,0,0,0.33,0.33,0.67,0.33,0.67,0.1,0.1,0.4,0.6,0.04,0.15,0.19,0.04,0.19
Ollie Watkins,FW,Aston Villa,3,2,205,2.3,1,2,1,0,0,0,0,0.44,0.88,1.32,0.44,1.32,0.8,0.8,1.1,1.9,0.35,0.47,0.82,0.35,0.82
Adam Webster,DF,Brighton,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04
Danny Welbeck,FW,Brighton,3,3,269,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.4,0.4,0.6,0.9,0.13,0.19,0.32,0.13,0.32
Ben White,DF,Arsenal,3,3,238,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0.03,0,0.03
Neco Williams,DF,Nott'ham Forest,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0.3,0.3,0.7,1,0.1,0.23,0.33,0.1,0.33
Joe Willock,MF,Newcastle Utd,3,3,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,0.12,0.08,0.2,0.12,0.2
Callum Wilson,FW,Newcastle Utd,3,3,243,2.7,2,0,2,0,0,0,0,0.74,0,0.74,0.74,0.74,1.2,1.2,0.2,1.4,0.46,0.06,0.51,0.46,0.51
Yoane Wissa,FW,Brentford,3,2,182,2,0,1,0,0,0,0,0,0,0.49,0.49,0,0.49,0.3,0.3,0,0.3,0.13,0,0.13,0.13,0.13
Chris Wood,FW,Newcastle Utd,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Worrall,DF,Nott'ham Forest,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granit Xhaka,MF,Arsenal,3,3,267,3,1,2,1,0,0,1,0,0.34,0.67,1.01,0.34,1.01,0.6,0.6,0.3,0.8,0.2,0.09,0.28,0.2,0.28
Ryan Yates,MF,Nott'ham Forest,1,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0.86,0,0.86,0.86,0.86
Ashley Young,DF,Aston Villa,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilfried Zaha,FW,Crystal Palace,3,3,261,2.9,3,0,3,0,1,1,0,1.03,0,1.03,1.03,1.03,2.1,1.2,1.1,2.3,0.73,0.37,1.1,0.41,0.78
Jordan Zemura,DF,Bournemouth,2,2,180,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07
Oleksandr Zinchenko,DF,Arsenal,3,3,248,2.8,0,1,0,0,0,0,0,0,0.36,0.36,0,0.36,0.1,0.1,0.3,0.4,0.05,0.09,0.14,0.05,0.14
Hakim Ziyech,MF,Chelsea,1,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.12,0.16,0.28,0.12,0.28
Kurt Zouma,DF,West Ham,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07
